Time(h),ALP7 - 0.1 mM Lactate,ALP7 - 0.2 mM Lactate,ALP7 - 0.3 mM Lactate,ALP7 - 0.5 mM Lactate,ALP7 - 1 mM Lactate,ALP7 - 2 mM Lactate,ALP7 - 3 mM Lactate,ALP7 - 5 mM Lactate,ALP7 - 10 mM Lactate,ALP7 - 20 mM Lactate,ALP7 - 30 mM Lactate,ALP7 - 50 mM Lactate
0.016944444444444446,24.333333333333332,23.0,24.333333333333332,23.0,24.333333333333332,25.666666666666668,24.333333333333332,23.0,25.0,23.0,23.666666666666668,22.333333333333332
0.08583333333333333,23.333333333333332,24.333333333333332,23.333333333333332,23.666666666666668,22.666666666666668,25.0,23.0,23.333333333333332,22.666666666666668,23.0,21.333333333333332,22.333333333333332
0.16944444444444445,24.0,23.0,24.0,22.666666666666668,22.666666666666668,24.666666666666668,23.666666666666668,24.333333333333332,24.0,22.0,22.666666666666668,23.0
0.25333333333333335,23.0,24.333333333333332,23.0,22.666666666666668,23.333333333333332,24.0,24.333333333333332,22.333333333333332,22.333333333333332,22.666666666666668,23.333333333333332,22.666666666666668
0.33666666666666667,23.0,22.666666666666668,23.666666666666668,23.333333333333332,24.0,24.666666666666668,23.333333333333332,23.0,23.0,23.0,21.666666666666668,22.333333333333332
0.42027777777777775,23.0,24.666666666666668,23.333333333333332,23.666666666666668,23.0,24.0,23.666666666666668,23.0,24.333333333333332,22.0,22.666666666666668,22.666666666666668
0.5036111111111111,22.666666666666668,23.333333333333332,23.666666666666668,24.333333333333332,23.333333333333332,26.666666666666668,22.333333333333332,23.666666666666668,22.333333333333332,21.666666666666668,23.333333333333332,22.0
0.5875,23.666666666666668,22.333333333333332,23.333333333333332,23.0,22.666666666666668,26.0,23.0,24.0,22.666666666666668,24.0,23.0,22.333333333333332
0.6708333333333333,24.666666666666668,24.333333333333332,23.666666666666668,23.333333333333332,24.333333333333332,24.666666666666668,22.333333333333332,23.0,22.333333333333332,23.333333333333332,23.0,23.0
0.7544444444444445,24.333333333333332,23.666666666666668,23.0,22.333333333333332,23.0,24.0,25.0,23.0,22.666666666666668,22.666666666666668,23.0,22.333333333333332
0.8380555555555556,24.333333333333332,22.666666666666668,24.0,23.333333333333332,22.666666666666668,25.666666666666668,22.333333333333332,23.333333333333332,22.333333333333332,23.0,22.666666666666668,23.0
0.9216666666666666,24.333333333333332,24.0,23.666666666666668,23.0,21.666666666666668,26.333333333333332,24.333333333333332,24.0,23.333333333333332,23.333333333333332,23.0,21.666666666666668
1.0055555555555555,24.333333333333332,24.0,24.0,23.333333333333332,24.333333333333332,26.0,23.666666666666668,24.333333333333332,23.0,22.0,24.0,24.333333333333332
1.0891666666666666,24.0,23.666666666666668,23.666666666666668,22.0,23.333333333333332,25.333333333333332,23.666666666666668,24.333333333333332,22.666666666666668,23.666666666666668,23.666666666666668,23.0
1.1725,24.0,23.0,25.333333333333332,25.0,24.333333333333332,26.333333333333332,23.333333333333332,24.333333333333332,23.333333333333332,24.333333333333332,24.333333333333332,22.0
1.2561111111111112,23.0,23.666666666666668,23.333333333333332,24.333333333333332,23.333333333333332,26.333333333333332,22.333333333333332,23.0,23.333333333333332,24.0,24.0,23.333333333333332
1.3397222222222223,24.666666666666668,23.0,23.333333333333332,22.666666666666668,25.0,26.0,24.0,24.666666666666668,23.666666666666668,24.0,24.333333333333332,23.333333333333332
1.4233333333333333,23.0,25.0,24.666666666666668,24.0,24.0,26.0,25.0,23.333333333333332,24.333333333333332,24.0,23.0,23.666666666666668
1.5069444444444444,23.333333333333332,23.0,22.666666666666668,22.666666666666668,24.0,26.666666666666668,24.666666666666668,24.0,24.333333333333332,23.333333333333332,24.333333333333332,23.0
